Continent,Region,BU,Site,Site-Store,Default Bin,APN,Part Class,Part Description,Part Criticality,Price per Unit,Inventory Units,UOM,Min Level,Max Level,Inventory Status,Total Inventory Units Above Max,Inventory Value ($),#Parts installed,#Equipments,Min Equipment Criticality,Preferred Supplier Name,Preferred Supplier Reference,Preferred Manufacturer,Preferred Manufacturer Part Number
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-B-03,3040717,PULLEY,PULLEY,02 MED,1285.75,3,EA,1,2,Above Max,1,3857.25,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-C-06,3286289,PULLEY,PULLEY,01 HIGH,364,3,EA,1,2,Above Max,1,1092,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-C-09,3012848,PEDAL,PEDAL,03 LOW,8.1,30,EA,2,3,Above Max,27,243,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-C-10,3012851,WHEEL,WHEEL,03 LOW,11.01,17,EA,2,3,Above Max,14,187.17,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-D-01,1068301,FILTER,FILTER,02 MED,2946.26,3,EA,1,2,Above Max,1,8838.78,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-D-02,1059954,CABLE,CABLE,02 MED,58.0875,4,EA,1,2,Above Max,2,232.35,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A01-F-02,1059967,ROLLER,ROLLER,02 MED,35.77,4,EA,1,3,Above Max,1,143.08,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-01,41814Z,ROLLER,ROLLER,02 MED,204.204445,3,EA,1,2,Above Max,1,612.613335,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-02,1060002,ROLLER,ROLLER,02 MED,116.78,4,EA,2,3,Above Max,1,467.12,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-04,41804Z,ROLLER,ROLLER,03 LOW,81.01,4,EA,1,3,Above Max,1,324.04,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-05,19952,ROLLER,ROLLER,02 MED,26.24,4,EA,1,2,Above Max,2,104.96,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-06,11146,GEARMTR,GEARMTR,01 HIGH,421.36,4,EA,1,2,Above Max,2,1685.44,0,0,0,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-08,3246521,LIGHT,LIGHT,02 MED,277.435,5,EA,2,3,Above Max,2,1387.175,204,102,2,,,,
,CALIFORNIA,,SITE_A,SITE_A-MAIN,A02-B-09,41846Z,ROLLER,ROLLER,02 MED,30.21,4,EA,2,3,Above Max,1,120.84,0,0,0,,,,
